718.017,966.454,1240.74,1213.9,1410.54,1356.06,1296.79,1614.92,1287.47,1402.52
1075.66,1331.51,1946.68,1912.8,2217.01,2059.44,1788.82,2477.52,1732.8,2002.67
1642.49,2131.99,2866.17,2623.46,2979.07,3027.08,2940.86,3780.99,2994.86,3267.18
1218.66,1519.56,2108.19,2082.04,2294.3,2174.5,2171.87,3147.44,2365.81,2870.1
1296.86,1571.94,2097.06,2054.9,2322.47,2142.33,2200.75,3146.6,2380.2,2872.44
736.411,995.889,1269.96,1249.39,1453.24,1391.67,1333.18,1655.42,1316.3,1437.41
767.228,1038.84,1324.09,1293.13,1512.67,1447.8,1398.8,1732.62,1374.39,1501.38
1317.43,1650.85,2370.43,2217.68,2522.15,2214.46,1942.56,2669.49,1879.11,2171.52
9.46147,12.8836,21.934,22.5243,24.0248,19.0427,17.9913,29.371,31.3291,20.3108
0.513081,0.743891,0.860132,0.984539,0.872,0.748298,0.734322,0.667287,0.735416,0.659966
0.0816452,0.126047,0.162221,0.296842,0.38325,0.373411,0.335733,0.245028,0.287192,0.286589
0.281677,0.506969,0.581706,0.802171,0.840598,0.94171,0.842248,0.585792,0.765326,0.623461
0.277016,0.498297,0.560838,0.789908,0.820554,0.947863,0.829074,0.573721,0.752213,0.613549
15.706,20.7637,38.4912,39.1566,41.8099,31.4622,30.1099,51.3782,54.8176,34.2799
20.8701,25.5594,35.7911,35.9914,37.3805,33.0459,31.9447,41.8828,44.4822,32.9184
0.348726,0.475219,0.444294,0.495566,0.487435,0.497452,0.495282,0.474495,0.519731,0.456746